Month & Year,Total Revenue,Total MRR,Total Expense,Total Processing Fees,Net Profit,EBITDA Revenue,EBITDA,Reserve Allocations,Adjusted Profit,Connor,Dividend Connor,Jayden,Dividend Jayden,Previous Month (Link),Month and Year,DateClean
September 2022,$14678.45,$6548.95,$1161.60,$507.49,$13009.36,$14678.45,100,$1170.84,$11838.52,$4735.41,checked,$7103.11,checked,,September 2022,2022/09/1
October 2022,$51460.03,$44426.54,$25209.21,$1827.01,$24423.81,$51460.03,100,$2198.14,$22225.67,$8890.27,checked,$13335.40,checked,September 2022,October 2022,2022/10/1
November 2022,$22999.58,$22999.58,$7446.46,$805.89,$14747.22,$22999.58,100,$1327.25,$13419.97,$5367.99,checked,$8051.98,checked,October 2022,November 2022,2022/11/1
December 2022,$31366.75,$23364.73,$5957.61,$1099.05,$24310.08,$31366.75,100,$2187.91,$22122.18,$8848.87,checked,$13273.31,checked,November 2022,December 2022,2022/12/1
January 2023,$34247.69,$32244.21,$9403.79,$1200.48,$23643.42,$34247.69,100,$2127.91,$21515.52,$8606.21,checked,$12909.31,checked,December 2022,January 2023,2023/01/1
February 2023,$36852.32,$20416.42,$11742.40,$1280.10,$23829.82,$36852.32,100,$2144.68,$21685.14,$8674.06,checked,$13011.08,checked,January 2023,February 2023,2023/02/1
March 2023,$36227.19,$27735.56,$13730.62,$1270.40,$21226.17,$36227.19,100,$1910.36,$19315.82,$7726.33,checked,$11589.49,checked,February 2023,March 2023,2023/03/1
April 2023,$27474.18,$27074.53,$18417.68,$963.26,$8093.24,$27474.18,100,$728.39,$7364.85,$2945.94,checked,$4418.91,checked,March 2023,April 2023,2023/04/1
May 2023,$32999.32,$25076.86,$16605.46,$1133.21,$15260.65,$32999.32,100,$1373.46,$13887.20,$5554.88,checked,$8332.32,checked,April 2023,May 2023,2023/05/1
June 2023,$11718.91,$10400.90,$24026.48,$403.14,-$12710.71,$11718.91,100,-$1143.96,-$11566.75,-$4626.70,checked,-$6940.05,checked,May 2023,June 2023,2023/06/1
July 2023,$15595.77,$15595.77,$14155.85,$500.43,$939.49,$15595.77,100,$84.55,$854.93,$341.97,checked,$512.96,checked,June 2023,July 2023,2023/07/1
August 2023,$35680.07,$24410.56,$18448.22,$1227.29,$16004.55,$35680.07,100,$1440.41,$14564.14,$5825.66,checked,$8738.49,checked,July 2023,August 2023,2023/08/1
September 2023,$31632.02,$31301.81,$24809.65,$1086.05,$5736.31,$31632.02,100,$516.27,$5220.05,$2088.02,checked,$3132.03,checked,August 2023,September 2023,2023/09/1
October 2023,$27827.96,$27557.43,$17861.17,$978.67,$8988.13,$27827.96,100,$808.93,$8179.20,$3271.68,checked,$4907.52,checked,September 2023,October 2023,2023/10/1
November 2023,$59685.42,$54454.83,$13220.77,$2178.52,$44286.14,$59685.42,100,$3985.75,$40300.38,$16120.15,checked,$24180.23,checked,October 2023,November 2023,2023/11/1
December 2023,$39567.19,$34304.63,$18493.94,$1434.63,$19638.62,$39567.19,100,$1767.48,$17871.14,$7148.46,checked,$10722.69,checked,November 2023,December 2023,2023/12/1
January 2024,$61377.94,$51191.40,$14606.49,$2244.23,$44527.22,$61377.94,100,$4007.45,$40519.77,$16207.91,checked,$24311.86,checked,December 2023,January 2024,2024/01/1
February 2024,$62652.09,$49588.86,$13479.23,$2200.21,$46972.65,$62652.09,100,$4227.54,$42745.11,$17098.04,checked,$25647.07,checked,January 2024,February 2024,2024/02/1
March 2024,$58230.04,$53905.59,$14039.39,$2063.72,$42126.93,$58230.04,100,$3791.42,$38335.50,$15334.20,checked,$23001.30,checked,February 2024,March 2024,2024/03/1
April 2024,$87868.60,$65325.83,$19322.88,$3159.22,$65386.50,$87868.60,100,$5884.78,$59501.71,$23800.68,checked,$35701.03,checked,March 2024,April 2024,2024/04/1
